ACS,AGER,ASSOC,BASE,CAT,CLOS,CON,DECK,DET,DIV,FINC,FNBS,FOYER,FRAME,GAR,HEAT,HEAT2,LNDR,METRO,MFGS,PATI,PRCH,SEWER,STOR,WAL1,WAL2,WALS,WATER,AREA,BEDR,COMP,FNSQ,FFNSQ,FPLS,FULB,HAFB,LOTV,PVALU,SALE,FSQFS,STRT,CONPR,SLPR,SQFS,WEIGHT,FUEL,FUEL2,FCONPR,FSLPR,AREA_F,FNSQ_F,FFNSQ_F,SLPR_F,FSLPR_F,CONPR_F,FCONPR_F,LOTV_F,SQFS_F,FSQFS_F,PVALU_F,AUTH
1,2,2,1,1,0,2,1,1,1,1,1,2,1,2,2,0,3,1,3,2,1,1,2,5,0,2,1,8712,4,201508,522,0,1,3,1,150000,200000,201503,3564,201411,0,745000,3564,77,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201410
1,2,1,1,1,0,1,2,2,1,1,2,2,1,4,3,0,2,1,3,2,2,1,2,5,0,2,1,0,3,201506,0,0,0,2,1,0,797700,201409,,201408,0,0,1770,116,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201408
1,2,2,1,1,0,0,2,1,1,0,2,1,1,2,2,0,3,1,3,2,1,1,2,1,7,1,1,8712,4,0,0,0,1,4,1,0,275000,0,,201603,0,0,3800,60,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201512
1,2,2,1,1,0,2,1,1,1,1,2,2,1,2,2,0,3,1,3,2,1,2,2,5,0,2,1,47916,4,201512,0,0,2,2,1,0,0,201509,3060,201508,0,0,3060,32,3,0,0,678800,0,0,0,0,0,0,0,0,0,0,0,201507
1,2,1,3,1,0,1,1,2,1,4,0,2,1,2,2,0,2,1,3,1,2,1,2,5,0,2,1,0,2,201501,0,0,0,2,1,70000,223000,201410,1966,201411,0,369000,1966,29,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201411
2,2,2,1,1,0,0,1,1,1,0,2,2,1,1,3,0,1,1,3,2,2,1,2,5,0,2,1,30492,3,0,0,0,0,1,1,0,0,0,,201504,0,0,1600,30,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201504
1,2,1,1,1,0,1,1,2,1,0,1,1,1,2,2,0,2,1,2,1,2,1,2,5,7,1,1,0,3,0,375,0,0,2,1,0,350400,201602,,201506,0,500000,2376,77,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201410
1,2,1,1,1,0,2,1,2,1,0,1,2,1,2,2,0,2,1,3,1,2,1,2,5,0,2,1,0,3,0,150,0,1,2,1,0,643000,201510,,201503,0,687500,2650,34,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201503
1,2,2,1,1,0,2,1,1,1,1,2,1,1,2,2,0,3,1,3,2,2,2,2,5,0,2,1,87120,5,201501,0,0,1,3,1,0,0,201409,3700,201410,0,0,3700,29,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201408
1,2,1,1,1,0,1,2,2,1,1,2,1,1,2,2,4,2,1,3,2,1,2,2,5,0,2,1,0,3,201506,0,0,1,2,1,0,360000,201411,,201501,0,375000,2150,39,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201412
1,2,2,1,1,0,2,1,1,1,0,2,2,1,2,2,0,2,1,3,2,1,2,2,5,0,2,1,30492,4,201508,0,0,1,3,1,0,125000,201506,2368,201405,0,0,2368,27,3,0,0,349900,0,0,0,0,0,0,0,0,0,0,0,201405
1,2,2,1,1,0,2,1,1,1,1,1,1,1,3,2,0,2,1,3,2,1,2,2,5,0,2,2,36039,4,201506,1000,0,1,2,1,0,455100,201505,4999,201407,0,0,4999,58,3,0,0,749900,0,0,0,0,0,0,0,0,0,0,0,201407
2,2,2,1,1,0,0,1,1,1,0,2,2,1,2,2,0,2,1,3,2,2,1,2,5,0,2,1,87120,3,0,0,0,1,2,1,0,110000,0,,201511,0,0,1872,29,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201510
1,2,1,1,1,0,2,2,1,1,2,2,2,1,2,2,0,2,1,3,1,1,1,2,5,7,1,1,17424,4,201503,0,0,1,2,1,0,152300,201412,2568,201409,0,471000,2568,39,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201408
1,2,2,1,1,0,2,1,1,1,0,2,0,1,2,2,0,2,1,3,2,1,1,1,5,0,2,1,18825,3,201510,0,0,1,2,0,0,137300,201503,1976,201505,0,0,1976,39,2,0,0,455000,0,0,0,0,0,0,0,0,0,0,0,201505
1,2,1,1,1,0,1,2,2,1,1,2,2,1,1,2,0,2,1,3,1,2,1,2,5,0,2,1,0,2,201410,0,0,1,2,1,80000,587000,201503,,201407,0,354900,1685,29,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201407
1,2,1,1,1,0,2,1,2,1,4,1,2,1,2,2,0,3,1,3,2,2,1,2,5,0,2,1,0,3,201507,0,0,1,2,1,0,265700,201401,2684,201410,0,0,2684,29,2,0,0,743800,0,0,0,0,0,0,0,0,0,0,0,201409
1,2,2,1,1,0,2,1,1,1,1,2,2,1,2,2,0,2,1,3,2,1,2,2,5,0,2,2,87120,3,201507,0,0,1,2,1,100000,230000,201506,3240,201409,0,385000,3240,58,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,201409
2,2,1,1,1,0,0,1,2,1,0,2,2,1,2,2,0,2,1,3,2,1,2,2,5,0,2,1,0,3,0,0,0,2,2,1,0,432000,0,,201508,0,0,1836,84,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201507
1,2,2,1,1,0,0,1,1,1,0,2,1,1,3,2,0,3,1,3,2,1,2,2,5,7,1,2,87120,4,201602,0,0,1,2,1,0,462000,0,,201508,0,0,4035,39,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,201508
1,2,0,1,1,0,0,1,2,1,0,2,2,1,2,2,0,3,1,3,1,1,1,2,5,0,2,1,15000,3,0,0,0,1,2,1,0,250000,0,,201512,0,0,0,60,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201512
1,2,2,3,1,0,2,1,2,1,1,0,1,1,2,2,0,3,1,3,2,2,1,2,5,0,2,1,0,2,201507,0,0,0,2,1,0,527900,201510,,201406,0,490000,1782,27,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201405
1,2,1,1,1,0,2,2,2,1,4,1,1,1,2,2,0,2,1,3,2,1,1,2,5,7,1,1,0,3,0,0,0,1,2,1,0,250900,201506,,201509,0,766100,2495,39,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201508
1,2,2,1,1,0,2,1,1,1,0,2,1,1,3,2,0,3,1,3,2,2,2,2,5,2,1,2,74818,4,201405,0,0,1,2,1,180000,444500,201506,,201308,0,595000,3916,35,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201308
1,2,0,3,1,0,0,1,2,1,0,0,0,1,2,2,0,0,1,3,0,2,1,2,0,0,0,1,0,3,0,0,0,9,3,1,0,312500,0,,201603,0,0,1944,30,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201512
1,2,1,1,1,0,1,1,1,1,4,2,2,1,1,2,0,2,1,3,2,2,1,2,5,0,2,1,0,3,201510,0,0,1,2,1,0,130000,201512,,201506,0,325000,1680,30,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201506
1,2,2,1,1,0,2,1,1,1,1,2,1,1,2,3,0,2,1,3,2,1,2,2,5,0,2,2,56628,4,201405,0,0,1,2,1,100000,349000,201504,,201311,0,480000,3000,27,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201311
1,2,2,1,1,0,2,1,1,1,1,2,2,1,2,2,0,2,1,3,2,2,2,2,5,0,2,1,21092,4,201504,0,0,1,2,1,0,162500,201502,2778,201410,0,0,2778,58,3,0,0,459900,0,0,0,0,0,0,0,0,0,0,0,201410
1,2,2,1,1,0,2,1,1,1,1,1,1,1,2,2,0,3,1,3,2,1,1,2,5,7,1,1,14376,3,201603,700,0,1,2,1,0,0,201511,3240,201510,0,0,3240,45,2,0,0,592000,0,0,0,0,0,0,0,0,0,0,0,201509
1,2,1,1,1,0,1,1,2,1,1,2,2,1,2,3,0,1,1,3,2,1,2,2,5,0,2,1,0,3,201502,0,0,1,2,1,0,300000,201411,2000,201407,0,0,2000,93,2,0,0,297000,0,0,0,0,0,0,0,0,0,0,0,201407
1,2,2,1,1,0,2,1,1,1,0,2,2,1,2,2,0,3,1,3,2,1,2,2,5,0,2,2,39204,3,201409,0,0,0,2,1,88900,0,201505,,201405,0,349900,2042,43,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201405
